MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY
NP_SSP2_6.2,pipelines_LNG,2035,R12_PAO,gas_piped_imp,1.5062188682770143,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_PAO,gas_piped_imp,1.1654834479755771,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_PAO,gas_piped_imp,0.9018288750152745,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_PAO,gas_piped_imp,0.6978179923738894,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_PAO,gas_piped_imp,0.539958260343436,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_PAO,gas_piped_imp,0.4178094088994129,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_PAO,gas_piped_imp,0.6805675011733127,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_PAO,gas_piped_imp,1.1085727458205592,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_PAO,gas_piped_imp,0.663743452755687,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_PAO,gas_piped_imp,0.3974077233424536,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_PAO,gas_piped_imp,0.23794268390375314,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_PAS,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_RCPA,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_RCPA,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_RCPA,gas_piped_imp,0.0,GWa,gas (GWa)
